,symb,type,price,qty
18,ETHBRL,asks,24923.68,0.0012
19,ETHBRL,asks,24934.34,0.0005
20,ETHBRL,asks,24935.77,0.6163
21,ETHBRL,asks,24942.3,7.47
22,ETHBRL,asks,24943.07,0.0009
23,ETHBRL,asks,24946.66,7.6
24,ETHBRL,asks,24961.3,0.5935
25,ETHBRL,asks,24969.76,0.0009
26,ETHBRL,asks,24991.19,0.0515
27,ETHBRL,asks,24994.08,2.9107
28,ETHBRL,asks,24996.49,0.0009
29,ETHBRL,asks,24997.37,0.0012
30,ETHBRL,asks,25000.0,1.7718
31,ETHBRL,asks,25006.87,0.0054
32,ETHBRL,asks,25023.24,0.0009
33,ETHBRL,asks,25026.73,3.8898
34,ETHBRL,asks,25035.35,0.2013
35,ETHBRL,asks,25035.36,0.0116
36,ETHBRL,asks,25038.36,0.2087
37,ETHBRL,asks,25047.64,0.0005
38,ETHBRL,asks,25050.0,0.1422
39,ETHBRL,asks,25050.02,0.0009
40,ETHBRL,asks,25050.37,0.0039
41,ETHBRL,asks,25053.14,0.1996
42,ETHBRL,asks,25053.56,3.77
43,ETHBRL,asks,25063.98,3.3719
44,ETHBRL,asks,25065.8,0.032
45,ETHBRL,asks,25066.2,0.094
46,ETHBRL,asks,25071.26,0.0012
47,ETHBRL,asks,25073.1,0.0013
48,ETHBRL,asks,25076.83,0.0009
49,ETHBRL,asks,25100.0,17.5105
50,ETHBRL,asks,25103.66,0.0009
51,ETHBRL,asks,25107.0,3.8275
52,ETHBRL,asks,25112.32,0.0673
53,ETHBRL,asks,25114.98,0.0009
54,ETHBRL,asks,25128.55,0.0015
55,ETHBRL,asks,25129.36,0.055
56,ETHBRL,asks,25130.53,0.0009
57,ETHBRL,asks,25140.0,0.2216
58,ETHBRL,asks,25140.87,0.0099
59,ETHBRL,asks,25141.08,0.0015
60,ETHBRL,asks,25143.02,4.7987
61,ETHBRL,asks,25145.38,0.0012
62,ETHBRL,asks,25149.21,0.0079
63,ETHBRL,asks,25149.34,0.0139
64,ETHBRL,asks,25149.55,0.0159
65,ETHBRL,asks,25149.73,0.0159
66,ETHBRL,asks,25149.94,0.019
67,ETHBRL,asks,25150.0,3.4364
68,ETHBRL,asks,25150.3,0.0159
69,ETHBRL,asks,25150.67,0.0159
70,ETHBRL,asks,25151.61,0.0026
71,ETHBRL,asks,25157.43,0.0009
72,ETHBRL,asks,25160.18,0.0115
73,ETHBRL,asks,25164.52,0.0104
74,ETHBRL,asks,25173.07,0.3585
75,ETHBRL,asks,25173.5,0.0005
76,ETHBRL,asks,25174.87,0.1588
77,ETHBRL,asks,25180.0,0.1631
78,ETHBRL,asks,25184.35,0.0009
79,ETHBRL,asks,25186.22,0.1001
80,ETHBRL,asks,25188.37,3.7901
81,ETHBRL,asks,25192.91,0.001
82,ETHBRL,asks,25194.24,0.0005
83,ETHBRL,asks,25195.0,0.2098
84,ETHBRL,asks,25195.29,0.0026
85,ETHBRL,asks,25200.0,2.797
86,ETHBRL,asks,25200.01,0.0005
87,ETHBRL,asks,25211.3,0.0009
88,ETHBRL,asks,25211.93,0.0005
89,ETHBRL,asks,25219.71,0.0012
90,ETHBRL,asks,25226.88,0.0013
91,ETHBRL,asks,25228.34,4.2569
92,ETHBRL,asks,25230.51,0.0005
93,ETHBRL,asks,25238.28,0.0009
94,ETHBRL,asks,25238.97,0.0026
95,ETHBRL,asks,25242.88,0.0012
96,ETHBRL,asks,25243.24,0.0005
97,ETHBRL,asks,25250.0,1.144
98,ETHBRL,asks,25250.7,0.002
99,ETHBRL,asks,25250.89,0.0006
